"set","n","method","measure","type","value","mc_se"
"Set1_Gaussian",1000,"RV3","precision_at_k","overall",0.79177777777778,0.00375709151146276
"Set1_Gaussian",1000,"RV3","false_pooling_at_k","overall",0.553,0.00907727932808063
"Set1_Gaussian",1000,"RV3","harm_maxW1","overall",2.60049599999999,0.0430829172023129
"Set1_Gaussian",1000,"RV3","auc","location",0.90366666666667,0.00248932783827505
"Set1_Gaussian",1000,"RV3","auc","scale",0.924000000000003,0.00214028958465077
"Set1_Gaussian",1000,"RV3","auc","combined",0.880611111111112,0.00298638870371979
"Set1_Gaussian",1500,"W1","precision_at_k","overall",1,0
"Set1_Gaussian",1500,"W1","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1500,"W1","harm_maxW1","overall",0,0
"Set1_Gaussian",1500,"W1","auc","location",1,0
"Set1_Gaussian",1500,"W1","auc","scale",1,0
"Set1_Gaussian",1500,"W1","auc","combined",1,0
"Set1_Gaussian",1500,"SMD","precision_at_k","overall",0.604222222222229,0.00370638199457449
"Set1_Gaussian",1500,"SMD","false_pooling_at_k","overall",0.890666666666667,0.00569735481182731
"Set1_Gaussian",1500,"SMD","harm_maxW1","overall",6.1160453333332,0.0470885321753242
"Set1_Gaussian",1500,"SMD","auc","location",1,0
"Set1_Gaussian",1500,"SMD","auc","scale",0.5035,0.00539938182332709
"Set1_Gaussian",1500,"SMD","auc","combined",1,0
"Set1_Gaussian",1500,"KS","precision_at_k","overall",1,0
"Set1_Gaussian",1500,"KS","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1500,"KS","harm_maxW1","overall",0,0
"Set1_Gaussian",1500,"KS","auc","location",1,0
"Set1_Gaussian",1500,"KS","auc","scale",1,0
"Set1_Gaussian",1500,"KS","auc","combined",1,0
"Set1_Gaussian",1500,"RV1","precision_at_k","overall",0.68366666666668,0.00372047554374336
"Set1_Gaussian",1500,"RV1","false_pooling_at_k","overall",0.786333333333333,0.00748360925004823
"Set1_Gaussian",1500,"RV1","harm_maxW1","overall",5.11971366666662,0.0551132864733486
"Set1_Gaussian",1500,"RV1","auc","location",1,0
"Set1_Gaussian",1500,"RV1","auc","scale",0.625666666666666,0.00525064722641827
"Set1_Gaussian",1500,"RV1","auc","combined",1,0
"Set1_Gaussian",1500,"RV2","precision_at_k","overall",1,0
"Set1_Gaussian",1500,"RV2","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1500,"RV2","harm_maxW1","overall",0,0
"Set1_Gaussian",1500,"RV2","auc","location",1,0
"Set1_Gaussian",1500,"RV2","auc","scale",1,0
"Set1_Gaussian",1500,"RV2","auc","combined",1,0
"Set1_Gaussian",1500,"RV3","precision_at_k","overall",0.789666666666668,0.0038944674274157
"Set1_Gaussian",1500,"RV3","false_pooling_at_k","overall",0.545333333333333,0.0090911108395122
"Set1_Gaussian",1500,"RV3","harm_maxW1","overall",2.57121366666666,0.0432857629507283
"Set1_Gaussian",1500,"RV3","auc","location",0.897777777777779,0.00263960029396999
"Set1_Gaussian",1500,"RV3","auc","scale",0.92427777777778,0.00216861996473167
"Set1_Gaussian",1500,"RV3","auc","combined",0.880277777777779,0.00301896866672916
"Set1_Gaussian",2000,"W1","precision_at_k","overall",1,0
"Set1_Gaussian",2000,"W1","false_pooling_at_k","overall",0,0
"Set1_Gaussian",2000,"W1","harm_maxW1","overall",0,0
"Set1_Gaussian",2000,"W1","auc","location",1,0
"Set1_Gaussian",2000,"W1","auc","scale",1,0
"Set1_Gaussian",2000,"W1","auc","combined",1,0
"Set1_Gaussian",2000,"SMD","precision_at_k","overall",0.600888888888896,0.00371047676991468
"Set1_Gaussian",2000,"SMD","false_pooling_at_k","overall",0.893333333333333,0.0056358639943635
