"set","n","method","measure","value","mc_se"
"Set3_Mixture",1000,"KS","ari",0.925092865970694,0.00348145827470858
"Set3_Mixture",1000,"KS","exact_recovery",0.793,0.00905955296910394
"Set3_Mixture",1000,"RV1","ari",0.00375141868065246,0.00251384258729311
"Set3_Mixture",1000,"RV1","exact_recovery",0,0
"Set3_Mixture",1000,"RV2","ari",0.0148874232434941,0.00210433398921342
"Set3_Mixture",1000,"RV2","exact_recovery",0,0
"Set3_Mixture",1000,"RV3","ari",0.304385224502474,0.00424565405907172
"Set3_Mixture",1000,"RV3","exact_recovery",0.001,0.000706753139363385
"Set3_Mixture",1500,"W1","ari",0.999752252252252,0.000247685803067032
"Set3_Mixture",1500,"W1","exact_recovery",0.9995,0.000499874984371065
"Set3_Mixture",1500,"SMD","ari",-6.82642500588381e-06,0.00235929092662089
"Set3_Mixture",1500,"SMD","exact_recovery",0,0
"Set3_Mixture",1500,"KS","ari",0.980567636935251,0.0017885406458246
"Set3_Mixture",1500,"KS","exact_recovery",0.9395,0.0053310294503032
"Set3_Mixture",1500,"RV1","ari",6.24826817818249e-05,0.00235357713335942
"Set3_Mixture",1500,"RV1","exact_recovery",0,0
"Set3_Mixture",1500,"RV2","ari",0.0118828048340141,0.00219750077992649
"Set3_Mixture",1500,"RV2","exact_recovery",0,0
"Set3_Mixture",1500,"RV3","ari",0.330724718059434,0.00412150076784865
"Set3_Mixture",1500,"RV3","exact_recovery",0.0015,0.000865375640979107
"Set3_Mixture",2000,"W1","ari",1,0
"Set3_Mixture",2000,"W1","exact_recovery",1,0
"Set3_Mixture",2000,"SMD","ari",0.00050988163893125,0.00241935418751538
"Set3_Mixture",2000,"SMD","exact_recovery",0,0
"Set3_Mixture",2000,"KS","ari",0.994522336301852,0.000960250327103788
"Set3_Mixture",2000,"KS","exact_recovery",0.9825,0.00293204280323463
"Set3_Mixture",2000,"RV1","ari",0.000640189723176937,0.0024434123969254
"Set3_Mixture",2000,"RV1","exact_recovery",0,0
"Set3_Mixture",2000,"RV2","ari",0.0144467346011606,0.00221689146609738
"Set3_Mixture",2000,"RV2","exact_recovery",0,0
"Set3_Mixture",2000,"RV3","ari",0.338884566823818,0.00407141455918951
"Set3_Mixture",2000,"RV3","exact_recovery",0.001,0.000706753139363385
"Set4_Extremes",150,"W1","ari",0.470488955371715,0.00584765287535735
"Set4_Extremes",150,"W1","exact_recovery",0.1265,0.0074329586975847
"Set4_Extremes",150,"SMD","ari",0.0195002532144785,0.00267445009450956
"Set4_Extremes",150,"SMD","exact_recovery",5e-04,0.000499874984371093
"Set4_Extremes",150,"KS","ari",0.00541726586419575,0.00231815324505653
"Set4_Extremes",150,"KS","exact_recovery",0,0
"Set4_Extremes",150,"RV1","ari",0.0269714665237889,0.00265890039378357
"Set4_Extremes",150,"RV1","exact_recovery",0,0
"Set4_Extremes",150,"RV2","ari",0.30044662389829,0.00376219244108007
"Set4_Extremes",150,"RV2","exact_recovery",5e-04,0.000499874984371093
"Set4_Extremes",150,"RV3","ari",0.205093822623431,0.00408624669849008
"Set4_Extremes",150,"RV3","exact_recovery",5e-04,0.000499874984371093
"Set4_Extremes",200,"W1","ari",0.569888309868524,0.00612302489174933
"Set4_Extremes",200,"W1","exact_recovery",0.236,0.00949484070429831
"Set4_Extremes",200,"SMD","ari",0.0185400850675735,0.00253689716940167
"Set4_Extremes",200,"SMD","exact_recovery",0,0
"Set4_Extremes",200,"KS","ari",0.021587518958818,0.00250746693446881
"Set4_Extremes",200,"KS","exact_recovery",0,0
"Set4_Extremes",200,"RV1","ari",0.0259138195976163,0.00254740203365139
"Set4_Extremes",200,"RV1","exact_recovery",0,0
"Set4_Extremes",200,"RV2","ari",0.322664481767289,0.00392618914520721
"Set4_Extremes",200,"RV2","exact_recovery",0.005,0.00157718102955875
"Set4_Extremes",200,"RV3","ari",0.225335928358262,0.00415622924204351
"Set4_Extremes",200,"RV3","exact_recovery",0.0015,0.000865375640979107
"Set4_Extremes",300,"W1","ari",0.724948175551829,0.00640392892027092
"Set4_Extremes",300,"W1","exact_recovery",0.491,0.011178528525705
"Set4_Extremes",300,"SMD","ari",0.0224152552887417,0.00254058214329674
"Set4_Extremes",300,"SMD","exact_recovery",0,0
"Set4_Extremes",300,"KS","ari",0.0546615168708797,0.00310245542851972
"Set4_Extremes",300,"KS","exact_recovery",5e-04,0.000499874984371093
"Set4_Extremes",300,"RV1","ari",0.0286493233602813,0.00251804170692146
"Set4_Extremes",300,"RV1","exact_recovery",0,0
"Set4_Extremes",300,"RV2","ari",0.350585399276401,0.0037264238649324
"Set4_Extremes",300,"RV2","exact_recovery",0.005,0.00157718102955875
"Set4_Extremes",300,"RV3","ari",0.240307867486561,0.00414763189235549
"Set4_Extremes",300,"RV3","exact_recovery",0.0015,0.000865375640979107
"Set4_Extremes",400,"W1","ari",0.820875751275507,0.00589829064634014
"Set4_Extremes",400,"W1","exact_recovery",0.6675,0.0105343189148611
"Set4_Extremes",400,"SMD","ari",0.0166524780785166,0.00253773341447544
"Set4_Extremes",400,"SMD","exact_recovery",0,0
"Set4_Extremes",400,"KS","ari",0.106268279523546,0.00373264850663484
"Set4_Extremes",400,"KS","exact_recovery",0.001,0.000706753139363385
"Set4_Extremes",400,"RV1","ari",0.0241383913739826,0.00253902946638436
"Set4_Extremes",400,"RV1","exact_recovery",0,0
"Set4_Extremes",400,"RV2","ari",0.351941744465605,0.00378685759228087
"Set4_Extremes",400,"RV2","exact_recovery",0.0085,0.00205277251540447
"Set4_Extremes",400,"RV3","ari",0.234128647215119,0.00427235107538879
"Set4_Extremes",400,"RV3","exact_recovery",0.002,0.000998999499499374
"Set4_Extremes",600,"W1","ari",0.925493931849354,0.00429758599806902
"Set4_Extremes",600,"W1","exact_recovery",0.864,0.00766498532288223
"Set4_Extremes",600,"SMD","ari",0.0146018428228948,0.00251752499869098
"Set4_Extremes",600,"SMD","exact_recovery",0,0
"Set4_Extremes",600,"KS","ari",0.282285738498415,0.00579106102028647
"Set4_Extremes",600,"KS","exact_recovery",0.0355,0.00413761706783023
"Set4_Extremes",600,"RV1","ari",0.0243840738712806,0.00251596815659717
"Set4_Extremes",600,"RV1","exact_recovery",0,0
"Set4_Extremes",600,"RV2","ari",0.369892801157259,0.00358027915889805
"Set4_Extremes",600,"RV2","exact_recovery",0.0065,0.00179690706493129
"Set4_Extremes",600,"RV3","ari",0.252466975357699,0.00421604563993034
"Set4_Extremes",600,"RV3","exact_recovery",0.0035,0.0013205585939291
"Set4_Extremes",1000,"W1","ari",0.988681385578704,0.00181736025019341
"Set4_Extremes",1000,"W1","exact_recovery",0.9805,0.00309190475273738
"Set4_Extremes",1000,"SMD","ari",0.0165485745363325,0.00252009014725278
"Set4_Extremes",1000,"SMD","exact_recovery",0,0
"Set4_Extremes",1000,"KS","ari",0.664235956971221,0.00668771347043204
"Set4_Extremes",1000,"KS","exact_recovery",0.3735,0.0108166018231236
"Set4_Extremes",1000,"RV1","ari",0.0238842502719523,0.00252781926473387
"Set4_Extremes",1000,"RV1","exact_recovery",0,0
"Set4_Extremes",1000,"RV2","ari",0.372263369393048,0.00351592311893497
"Set4_Extremes",1000,"RV2","exact_recovery",0.0065,0.00179690706493129
"Set4_Extremes",1000,"RV3","ari",0.249543999212961,0.00420991045480041
"Set4_Extremes",1000,"RV3","exact_recovery",0.003,0.00122290637417588
"Set4_Extremes",1500,"W1","ari",0.998815864022663,0.000591475624349457
"Set4_Extremes",1500,"W1","exact_recovery",0.998,0.000998999499499375
"Set4_Extremes",1500,"SMD","ari",0.0167317621450849,0.00244198919472234
"Set4_Extremes",1500,"SMD","exact_recovery",0,0
"Set4_Extremes",1500,"KS","ari",0.92037319313098,0.00415670365787503
"Set4_Extremes",1500,"KS","exact_recovery",0.833,0.00833999400479401
"Set4_Extremes",1500,"RV1","ari",0.0255115878165561,0.00248124794593298
"Set4_Extremes",1500,"RV1","exact_recovery",0,0
"Set4_Extremes",1500,"RV2","ari",0.38027985743199,0.00339525754968034
"Set4_Extremes",1500,"RV2","exact_recovery",0.0075,0.00192921616207205
"Set4_Extremes",1500,"RV3","ari",0.248695584585755,0.00412755371860782
"Set4_Extremes",1500,"RV3","exact_recovery",0.0015,0.000865375640979107
"Set4_Extremes",2000,"W1","ari",0.999407932011331,0.000418445909708076
"Set4_Extremes",2000,"W1","exact_recovery",0.999,0.000706753139363385
"Set4_Extremes",2000,"SMD","ari",0.0141397046797999,0.00255232702459055
"Set4_Extremes",2000,"SMD","exact_recovery",0,0
"Set4_Extremes",2000,"KS","ari",0.984708664416337,0.00194631247849754
"Set4_Extremes",2000,"KS","exact_recovery",0.9675,0.00396508196636589
"Set4_Extremes",2000,"RV1","ari",0.0231434311092094,0.00260163130213165
"Set4_Extremes",2000,"RV1","exact_recovery",0,0
"Set4_Extremes",2000,"RV2","ari",0.380271826341701,0.00346192615380889
"Set4_Extremes",2000,"RV2","exact_recovery",0.0055,0.00165374574829385
"Set4_Extremes",2000,"RV3","ari",0.246981568520338,0.0042267976349719
"Set4_Extremes",2000,"RV3","exact_recovery",0.002,0.000998999499499374
