"set","n","tau_clin","n_acceptable","method","tau","violation","violation_se","sensitivity","sensitivity_se"
"Set1_Gaussian",25,4.520839,4,"W1",11.5143765812979,1,0,0.996375,0.000668247474742695
"Set1_Gaussian",25,4.520839,4,"W1",11.5978140927566,1,0,0.9965,0.000656791443305941
"Set1_Gaussian",25,4.520839,4,"W1",11.6812516042153,1,0,0.99675,0.000633220933008384
"Set1_Gaussian",25,4.520839,4,"W1",11.764689115674,1,0,0.99725,0.000583068392214867
"Set1_Gaussian",25,4.520839,4,"W1",11.8481266271326,1,0,0.9975,0.000556214886532125
"Set1_Gaussian",25,4.520839,4,"W1",11.9315641385913,1,0,0.997625,0.000542268095594831
"Set1_Gaussian",25,4.520839,4,"W1",12.01500165005,1,0,0.99775,0.000527938206611306
"Set1_Gaussian",25,4.520839,4,"W1",12.0984391615087,1,0,0.997875,0.000513193128851147
"Set1_Gaussian",25,4.520839,4,"W1",12.1818766729674,1,0,0.998125,0.000482304040517961
"Set1_Gaussian",25,4.520839,4,"W1",12.265314184426,1,0,0.998375,0.000449226766232794
"Set1_Gaussian",25,4.520839,4,"W1",12.3487516958847,1,0,0.99875,0.000394295257389615
"Set1_Gaussian",25,4.520839,4,"W1",12.4321892073434,1,0,0.99875,0.000394295257389615
"Set1_Gaussian",25,4.520839,4,"W1",12.5156267188021,1,0,0.998875,0.000374155298639547
"Set1_Gaussian",25,4.520839,4,"W1",12.5990642302608,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",12.6825017417194,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",12.7659392531781,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",12.8493767646368,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",12.9328142760955,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",13.0162517875542,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",13.0996892990128,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",13.1831268104715,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",13.2665643219302,1,0,0.999125,0.00033013964848226
"Set1_Gaussian",25,4.520839,4,"W1",13.3500018333889,1,0,0.999375,0.000279158892926552
"Set1_Gaussian",25,4.520839,4,"W1",13.4334393448476,1,0,0.999375,0.000279158892926552
"Set1_Gaussian",25,4.520839,4,"W1",13.5168768563062,1,0,0.999375,0.000279158892926552
"Set1_Gaussian",25,4.520839,4,"W1",13.6003143677649,1,0,0.9995,0.000249749874874739
"Set1_Gaussian",25,4.520839,4,"W1",13.6837518792236,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",13.7671893906823,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",13.850626902141,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",13.9340644135996,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.0175019250583,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.100939436517,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.1843769479757,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.2678144594344,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.351251970893,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.4346894823517,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.5181269938104,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.6015645052691,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.6850020167278,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.7684395281865,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.8518770396451,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",14.9353145511038,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.0187520625625,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.1021895740212,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.1856270854799,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.2690645969385,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.3525021083972,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.4359396198559,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.5193771313146,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.6028146427733,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.6862521542319,1,0,0.999875,0.000124968746092928
"Set1_Gaussian",25,4.520839,4,"W1",15.7696896656906,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",15.8531271771493,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",15.936564688608,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.0200022000667,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.1034397115253,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.186877222984,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.2703147344427,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.3537522459014,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.4371897573601,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.5206272688187,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"W1",16.6040647802774,1,0,1,0
"Set1_Gaussian",25,4.520839,4,"SMD",0,0,0,0,0
"Set1_Gaussian",25,4.520839,4,"SMD",0.00751132169446622,0.0545,0.00507591124823908,0.016125,0.00143983234701128
"Set1_Gaussian",25,4.520839,4,"SMD",0.0150226433889324,0.099,0.00667828570817392,0.03375,0.00205984677828231
"Set1_Gaussian",25,4.520839,4,"SMD",0.0225339650833987,0.143,0.00782786688696225,0.05075,0.00249869340856376
"Set1_Gaussian",25,4.520839,4,"SMD",0.0300452867778649,0.1865,0.0087097000522406,0.07,0.00294533529500463
