"set","n","tau_clin","method","kind","tau","violation","sensitivity","feasible"
"Set1_Gaussian",100,5.617227,"KS","oracle_best",0.151695979899497,0.0405,0.496249999999999,TRUE
"Set1_Gaussian",100,5.617227,"RV1","oracle_best",0.020902394958711,0.027,0.0274166666666666,TRUE
"Set1_Gaussian",100,5.617227,"RV2","oracle_best",1.45049760379219,0.0495,0.673333333333334,TRUE
"Set1_Gaussian",100,5.617227,"RV3","oracle_best",1.62895568124017,0.0465,0.461499999999999,TRUE
"Set1_Gaussian",100,7.10665,"W1","oracle_best",5.34000073335555,0.0475,0.725857142857152,TRUE
"Set1_Gaussian",100,7.10665,"W1_derived","derived_tau_clin",7.10665,0.407,0.931428571428579,FALSE
"Set1_Gaussian",100,7.10665,"SMD","oracle_best",0.00751132169446622,0.048,0.0237857142857144,TRUE
"Set1_Gaussian",100,7.10665,"KS","oracle_best",0.161809045226131,0.0465,0.46214285714286,TRUE
"Set1_Gaussian",100,7.10665,"RV1","oracle_best",0.020902394958711,0.0295,0.0206428571428572,TRUE
"Set1_Gaussian",100,7.10665,"RV2","oracle_best",1.75463419813571,0.045,0.722142857142867,TRUE
"Set1_Gaussian",100,7.10665,"RV3","oracle_best",1.97801761293449,0.049,0.569142857142856,TRUE
"Set1_Gaussian",100,7.989423,"W1","oracle_best",5.617227,0.047,0.675625,TRUE
"Set1_Gaussian",100,7.989423,"W1_derived","derived_tau_clin",7.989423,0.489,0.90525,FALSE
"Set1_Gaussian",100,7.989423,"SMD","oracle_best",0.5558378053905,0.0455,0.9055,TRUE
"Set1_Gaussian",100,7.989423,"KS","oracle_best",0.252826633165829,0.045,0.8015,TRUE
"Set1_Gaussian",100,7.989423,"RV1","oracle_best",1.75580117653173,0.048,0.8821875,TRUE
"Set1_Gaussian",100,7.989423,"RV2","oracle_best",1.77802932077752,0.049,0.6456875,TRUE
"Set1_Gaussian",100,7.989423,"RV3","oracle_best",1.97801761293449,0.0475,0.496125,TRUE
"Set2_LogNormal",25,5.4106355,"W1","oracle_best",3.40800594915173,0.041,0.051375,TRUE
"Set2_LogNormal",25,5.4106355,"W1_derived","derived_tau_clin",5.4106355,0.3565,0.328125,FALSE
"Set2_LogNormal",25,5.4106355,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",25,5.4106355,"KS","oracle_best",0.0809045226130653,0.0105,0.005,TRUE
"Set2_LogNormal",25,5.4106355,"RV1","oracle_best",0,0,0,TRUE
"Set2_LogNormal",25,5.4106355,"RV2","oracle_best",0.189934783533835,0.0385,0.035625,TRUE
"Set2_LogNormal",25,5.4106355,"RV3","oracle_best",0.440320228467638,0.042,0.043,TRUE
"Set2_LogNormal",25,6.282703,"W1","oracle_best",3.76674341748349,0.05,0.078,TRUE
"Set2_LogNormal",25,6.282703,"W1_derived","derived_tau_clin",6.282703,0.4065,0.4279,FALSE
"Set2_LogNormal",25,6.282703,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",25,6.282703,"KS","oracle_best",0.0809045226130653,0.003,0.0031,TRUE
"Set2_LogNormal",25,6.282703,"RV1","oracle_best",0.0220008795008247,0.049,0.0147,TRUE
"Set2_LogNormal",25,6.282703,"RV2","oracle_best",0.244201864543502,0.038,0.0489000000000004,TRUE
"Set2_LogNormal",25,6.282703,"RV3","oracle_best",0.503223118248729,0.0435,0.0534000000000004,TRUE
"Set2_LogNormal",25,7.3720675,"W1","oracle_best",3.94611215164937,0.0495,0.0885833333333329,TRUE
"Set2_LogNormal",25,7.3720675,"W1_derived","derived_tau_clin",7.3720675,0.457,0.525916666666666,FALSE
"Set2_LogNormal",25,7.3720675,"SMD","oracle_best",0.00523419457370192,0.033,0.0136666666666667,TRUE
"Set2_LogNormal",25,7.3720675,"KS","oracle_best",0.0809045226130653,0.004,0.00225,TRUE
"Set2_LogNormal",25,7.3720675,"RV1","oracle_best",0.0220008795008247,0.0325,0.0161666666666667,TRUE
"Set2_LogNormal",25,7.3720675,"RV2","oracle_best",0.298468945553169,0.0435,0.0632500000000004,TRUE
"Set2_LogNormal",25,7.3720675,"RV3","oracle_best",0.56612600802982,0.0475,0.059666666666667,TRUE
"Set2_LogNormal",25,8.8015105,"W1","oracle_best",5.20169329081053,0.048,0.215785714285716,TRUE
"Set2_LogNormal",25,8.8015105,"W1_derived","derived_tau_clin",8.8015105,0.3155,0.63157142857143,FALSE
"Set2_LogNormal",25,8.8015105,"SMD","oracle_best",0.00523419457370192,0.0245,0.0125,TRUE
"Set2_LogNormal",25,8.8015105,"KS","oracle_best",0.121356783919598,0.0315,0.0606428571428571,TRUE
"Set2_LogNormal",25,8.8015105,"RV1","oracle_best",0.0440017590016493,0.0455,0.0267142857142859,TRUE
"Set2_LogNormal",25,8.8015105,"RV2","oracle_best",0.542670810096672,0.0495,0.173000000000001,TRUE
"Set2_LogNormal",25,8.8015105,"RV3","oracle_best",0.817737567154185,0.0485,0.132999999999999,TRUE
"Set2_LogNormal",25,11.776406,"W1","oracle_best",8.07159303746462,0.046,0.526375,TRUE
"Set2_LogNormal",25,11.776406,"W1_derived","derived_tau_clin",11.776406,0.229,0.7949375,FALSE
"Set2_LogNormal",25,11.776406,"SMD","oracle_best",0.0157025837211058,0.039,0.0376875,TRUE
"Set2_LogNormal",25,11.776406,"KS","oracle_best",0.161809045226131,0.024,0.2096875,TRUE
"Set2_LogNormal",25,11.776406,"RV1","oracle_best",0.0880035180032986,0.037,0.0574375,TRUE
"Set2_LogNormal",25,11.776406,"RV2","oracle_best",1.11247516069818,0.049,0.44225,TRUE
"Set2_LogNormal",25,11.776406,"RV3","oracle_best",1.35241213029346,0.047,0.3343125,TRUE
"Set2_LogNormal",50,5.4106355,"W1","oracle_best",3.04926848081997,0.038,0.121375,TRUE
"Set2_LogNormal",50,5.4106355,"W1_derived","derived_tau_clin",5.4106355,0.46,0.608625,FALSE
"Set2_LogNormal",50,5.4106355,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",50,5.4106355,"KS","oracle_best",0.0809045226130653,0.023,0.0305,TRUE
"Set2_LogNormal",50,5.4106355,"RV1","oracle_best",0,0,0,TRUE
"Set2_LogNormal",50,5.4106355,"RV2","oracle_best",0.271335405048336,0.043,0.092,TRUE
"Set2_LogNormal",50,5.4106355,"RV3","oracle_best",0.471771673358183,0.0445,0.068875,TRUE
"Set2_LogNormal",50,6.282703,"W1","oracle_best",3.58737468331761,0.0495,0.195599999999997,TRUE
"Set2_LogNormal",50,6.282703,"W1_derived","derived_tau_clin",6.282703,0.475,0.658999999999992,FALSE
"Set2_LogNormal",50,6.282703,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",50,6.282703,"KS","oracle_best",0.0809045226130653,0.0115,0.0253000000000001,TRUE
"Set2_LogNormal",50,6.282703,"RV1","oracle_best",0.0220008795008247,0.047,0.0156,TRUE
"Set2_LogNormal",50,6.282703,"RV2","oracle_best",0.37986956706767,0.0485,0.142899999999998,TRUE
"Set2_LogNormal",50,6.282703,"RV3","oracle_best",0.597577452920366,0.043,0.111699999999999,TRUE
"Set2_LogNormal",50,7.3720675,"W1","oracle_best",3.58737468331761,0.0465,0.165,TRUE
"Set2_LogNormal",50,7.3720675,"W1_derived","derived_tau_clin",7.3720675,0.49,0.702083333333336,FALSE
"Set2_LogNormal",50,7.3720675,"SMD","oracle_best",0.00523419457370192,0.039,0.0194166666666667,TRUE
"Set2_LogNormal",50,7.3720675,"KS","oracle_best",0.102479061976549,0.0425,0.086833333333333,TRUE
"Set2_LogNormal",50,7.3720675,"RV1","oracle_best",0.0220008795008247,0.0245,0.0179166666666667,TRUE
"Set2_LogNormal",50,7.3720675,"RV2","oracle_best",0.488403729087004,0.044,0.182000000000001,TRUE
"Set2_LogNormal",50,7.3720675,"RV3","oracle_best",0.723383232482548,0.0485,0.139,TRUE
"Set2_LogNormal",50,8.8015105,"W1","oracle_best",5.4106355,0.0465,0.423000000000003,TRUE
"Set2_LogNormal",50,8.8015105,"W1_derived","derived_tau_clin",8.8015105,0.337,0.773214285714296,FALSE
"Set2_LogNormal",50,8.8015105,"SMD","oracle_best",0.00523419457370192,0.025,0.0159285714285714,TRUE
"Set2_LogNormal",50,8.8015105,"KS","oracle_best",0.121356783919598,0.042,0.180785714285715,TRUE
"Set2_LogNormal",50,8.8015105,"RV1","oracle_best",0.0440017590016493,0.031,0.0297142857142859,TRUE
"Set2_LogNormal",50,8.8015105,"RV2","oracle_best",0.786872674640174,0.0455,0.313214285714289,TRUE
"Set2_LogNormal",50,8.8015105,"RV3","oracle_best",1.06934912627855,0.0485,0.26257142857143,TRUE
"Set2_LogNormal",50,11.776406,"W1","oracle_best",8.8015105,0.0475,0.7206875,TRUE
"Set2_LogNormal",50,11.776406,"W1_derived","derived_tau_clin",11.776406,0.2165,0.8928125,FALSE
"Set2_LogNormal",50,11.776406,"SMD","oracle_best",0.0104683891474038,0.041,0.0326875,TRUE
"Set2_LogNormal",50,11.776406,"KS","oracle_best",0.180686767169179,0.046,0.5345,TRUE
"Set2_LogNormal",50,11.776406,"RV1","oracle_best",0.0880035180032986,0.044,0.054875,TRUE
"Set2_LogNormal",50,11.776406,"RV2","oracle_best",1.46521118726101,0.0495,0.5921875,TRUE
"Set2_LogNormal",50,11.776406,"RV3","oracle_best",1.66692657919891,0.0495,0.488,TRUE
"Set2_LogNormal",75,5.4106355,"W1","oracle_best",3.04926848081997,0.049,0.233125,TRUE
"Set2_LogNormal",75,5.4106355,"W1_derived","derived_tau_clin",5.4106355,0.482,0.738625,FALSE
"Set2_LogNormal",75,5.4106355,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",75,5.4106355,"KS","oracle_best",0.0809045226130653,0.038,0.081375,TRUE
"Set2_LogNormal",75,5.4106355,"RV1","oracle_best",0,0,0,TRUE
"Set2_LogNormal",75,5.4106355,"RV2","oracle_best",0.325602486058003,0.0465,0.14075,TRUE
"Set2_LogNormal",75,5.4106355,"RV3","oracle_best",0.56612600802982,0.0485,0.13025,TRUE
"Set2_LogNormal",75,6.282703,"W1","oracle_best",3.40800594915173,0.0455,0.273499999999997,TRUE
"Set2_LogNormal",75,6.282703,"W1_derived","derived_tau_clin",6.282703,0.4995,0.739999999999987,FALSE
"Set2_LogNormal",75,6.282703,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",75,6.282703,"KS","oracle_best",0.0943886097152429,0.0485,0.148599999999998,TRUE
"Set2_LogNormal",75,6.282703,"RV1","oracle_best",0.0220008795008247,0.0405,0.0142,TRUE
"Set2_LogNormal",75,6.282703,"RV2","oracle_best",0.461270188582171,0.0485,0.214499999999997,TRUE
"Set2_LogNormal",75,6.282703,"RV3","oracle_best",0.660480342701457,0.0465,0.154599999999998,TRUE
"Set2_LogNormal",75,7.3720675,"W1","oracle_best",3.58737468331761,0.048,0.26475,TRUE
"Set2_LogNormal",75,7.3720675,"W1_derived","derived_tau_clin",7.3720675,0.511,0.768749999999999,FALSE
"Set2_LogNormal",75,7.3720675,"SMD","oracle_best",0.00523419457370192,0.043,0.0231666666666666,TRUE
"Set2_LogNormal",75,7.3720675,"KS","oracle_best",0.0943886097152429,0.0325,0.125833333333333,TRUE
"Set2_LogNormal",75,7.3720675,"RV1","oracle_best",0.0220008795008247,0.0245,0.018,TRUE
"Set2_LogNormal",75,7.3720675,"RV2","oracle_best",0.596937891106339,0.047,0.258,TRUE
"Set2_LogNormal",75,7.3720675,"RV3","oracle_best",0.817737567154185,0.0435,0.190916666666667,TRUE
"Set2_LogNormal",75,8.8015105,"W1","oracle_best",5.56043075914229,0.0495,0.523214285714284,TRUE
"Set2_LogNormal",75,8.8015105,"W1_derived","derived_tau_clin",8.8015105,0.346,0.823857142857155,FALSE
"Set2_LogNormal",75,8.8015105,"SMD","oracle_best",0.00523419457370192,0.033,0.0189285714285714,TRUE
"Set2_LogNormal",75,8.8015105,"KS","oracle_best",0.10787269681742,0.0315,0.196642857142858,TRUE
"Set2_LogNormal",75,8.8015105,"RV1","oracle_best",0.0440017590016493,0.0355,0.0307857142857145,TRUE
"Set2_LogNormal",75,8.8015105,"RV2","oracle_best",0.895406836659508,0.046,0.393428571428575,TRUE
"Set2_LogNormal",75,8.8015105,"RV3","oracle_best",1.10080057116909,0.0445,0.29764285714286,TRUE
"Set2_LogNormal",75,11.776406,"W1","oracle_best",9.50654291079166,0.0425,0.8105,TRUE
"Set2_LogNormal",75,11.776406,"W1_derived","derived_tau_clin",11.776406,0.2015,0.9179375,FALSE
"Set2_LogNormal",75,11.776406,"SMD","oracle_best",0.00523419457370192,0.0265,0.019625,TRUE
"Set2_LogNormal",75,11.776406,"KS","oracle_best",0.188777219430486,0.0415,0.6921875,TRUE
"Set2_LogNormal",75,11.776406,"RV1","oracle_best",0.066002638502474,0.044,0.043,TRUE
"Set2_LogNormal",75,11.776406,"RV2","oracle_best",1.70941305180452,0.0495,0.672125,TRUE
"Set2_LogNormal",75,11.776406,"RV3","oracle_best",1.88708669343273,0.0485,0.5785625,TRUE
"Set2_LogNormal",100,5.4106355,"W1","oracle_best",3.22863721498585,0.05,0.407125,TRUE
"Set2_LogNormal",100,5.4106355,"W1_derived","derived_tau_clin",5.4106355,0.4635,0.814,FALSE
"Set2_LogNormal",100,5.4106355,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",100,5.4106355,"KS","oracle_best",0.0809045226130653,0.038,0.157125,TRUE
"Set2_LogNormal",100,5.4106355,"RV1","oracle_best",0,0,0,TRUE
"Set2_LogNormal",100,5.4106355,"RV2","oracle_best",0.407003107572504,0.047,0.235125,TRUE
"Set2_LogNormal",100,5.4106355,"RV3","oracle_best",0.597577452920366,0.043,0.174,TRUE
"Set2_LogNormal",100,6.282703,"W1","oracle_best",3.58737468331761,0.0425,0.408800000000001,TRUE
"Set2_LogNormal",100,6.282703,"W1_derived","derived_tau_clin",6.282703,0.4675,0.790199999999982,FALSE
"Set2_LogNormal",100,6.282703,"SMD","oracle_best",0,0,0,TRUE
"Set2_LogNormal",100,6.282703,"KS","oracle_best",0.0916917922948074,0.0405,0.202499999999996,TRUE
"Set2_LogNormal",100,6.282703,"RV1","oracle_best",0.0220008795008247,0.038,0.0181,TRUE
"Set2_LogNormal",100,6.282703,"RV2","oracle_best",0.596937891106339,0.0495,0.328999999999999,TRUE
"Set2_LogNormal",100,6.282703,"RV3","oracle_best",0.754834677373094,0.047,0.223799999999997,TRUE
"Set2_LogNormal",100,7.3720675,"W1","oracle_best",3.76674341748349,0.0415,0.371416666666668,TRUE
"Set2_LogNormal",100,7.3720675,"W1_derived","derived_tau_clin",7.3720675,0.4645,0.802499999999996,FALSE
